line_cd,station_cd1,station_cd2,line_name,line_name_h,line_name_k,company_cd,company_name,company_name_h,company_name_k,company_name_r,company_type,company_url,e_status_x,e_status_y,has_station_data,lat,lon,rr_cd,station_cd1,station_cd2,zoom
11411,1141128,1141129,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141128,1141129,9
11411,1141129,1141130,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141129,1141130,9
11411,1141130,1141131,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141130,1141131,9
11411,1141131,1141132,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141131,1141132,9
11411,1141132,1141133,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141132,1141133,9
11411,1141133,1141134,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141133,1141134,9
11411,1141134,1141135,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141134,1141135,9
11411,1141135,1141136,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141135,1141136,9
11411,1141136,1141137,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141136,1141137,9
11411,1141137,1141138,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,3,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1,http://jr-central.co.jp/,0,0,True,35.6624711001,137.468491977,11,1141137,1141138,9
